place_id,name,price_level_combined,user_ratings_total,combined_rating,geometry.location.lat,geometry.location.lng,combined_main_category,sub_category,district,district_cluster,combined_main_category_2
ChIJcwlqWipljEcROGKmQc66O8A,Twice Burger SA,,,,46.2003315,6.141985,"Hamburger, American",,Cité-Centre,34,"Hamburger, American"
ChIJq6r-VypljEcReX_lHKRJU9I,Superfood Mani,,,,46.2001151,6.1423356,General / Restaurant,,Cité-Centre,34,General
ChIJyW_KVSpljEcRXktACj_8Qr4,Le Dorian,3.0,318.0,3.8,46.2002511,6.1427421,"Italian, French, European",,Cité-Centre,34,European
ChIJjYRLD2RljEcRblTr7zZ6dgE,Gaku,4.0,1.0,5.0,46.2005905,6.1427039,Japanese,,Cité-Centre,34,Asian
ChIJfdoyPypljEcR933TkeN5N6w,Le Lyrique,3.0,198.0,3.8,46.201342,6.1421848,"French, Swiss, European",,Cité-Centre,34,European
ChIJM2KW6UZljEcRA6ZvNM7DsBo,Café de La Plage - Grand Théâtre de Genève,4.0,139.0,4.5,46.200942,6.1426804,General / Restaurant,,Cité-Centre,34,General
ChIJL5mpPbJljEcR6QOD-mjJn1c,L'Aartisan Genève,4.0,1.0,4.0,46.202595,6.1425919,General / Restaurant,,Cité-Centre,34,General
ChIJQ3X9RlFljEcRMvPfIa4Xn7E,Le 9,4.0,6.0,3.9,46.2046049,6.1416233,"American, Swiss, European",,Grottes Saint-Gervais,21,"American, European"
ChIJf7GSPChljEcR2pmtBN45Qwc,Lillo,3.0,128.0,4.3,46.2057881,6.1424001,Italian,,Grottes Saint-Gervais,21,European
ChIJC12_LyhljEcRPQftApjC7YU,Terrasse le Paradis,2.0,336.0,4.2,46.2054341,6.1421097,Lebanese,,Grottes Saint-Gervais,21,Middle Eastern & African
ChIJERtjGShljEcRX4ycNPnX6vI,Buffet de Chine,,,,46.2063529,6.1419767,General / Restaurant,,Grottes Saint-Gervais,21,General
ChIJZ79fzidljEcRQAzCJqnhWFo,Pasta E Sughi Sa,,,,46.206139,6.1423703,General / Restaurant,,Grottes Saint-Gervais,21,General
ChIJI0iH5sJljEcR4eWDyfrl-Jk,L'Art Doiz,3.0,41.0,5.0,46.2063971,6.1420297,Italian,,Grottes Saint-Gervais,21,European
