,name,place_id,types,price_level,rating,user_ratings_total,vicinity,plus_code.global_code,geometry.location.lat,geometry.location.lng
248,和平饭店 La Table des Nations,ChIJdRIL5edkjEcRgq76dU65mrg,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,4,166,"Av. Giuseppe Motta 30, Genève",8FR8649M+6C,46.2180168,6.1335046
249,Bar les Nations,ChIJBXCedu9kjEcRoh66IuNvkZA,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",,4.6,8,"InterContinental Geneve, Chem. du Petit-Saconnex 7, Geneva",8FR864FM+Q2,46.2243333,6.1326853
250,E-Gourmet Eldora,ChIJq6qqe_BkjEcRWeekDsmYcKM,"['restaurant', 'food', 'point_of_interest', 'establishment']",,0,0,"Rte des Morillons 4, Genève",,46.2288655,6.1346917
251,La Cantina Chez Marco,ChIJcUSlKSl7jEcRz3v9U1PPaw0,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,4.5,741,"Rue Eugène-Marziano 15, Genève",8FR854RM+C4,46.1910719,6.1328412
252,Le Safran - Restaurant Indien à Genève,ChIJud_1h557jEcRjtjZEQPBrmg,"['restaurant', 'point_of_interest', 'food', 'establishment']",2,4.4,307,"Bd Carl-Vogt 62, Genève",8FR854XP+49,46.1977567,6.1359876
253,Umamido - Plainpalais,ChIJ0fphLSt7jEcRniFISXQ-if0,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,4.5,701,"Bd Carl-Vogt 63, Genève",8FR854XP+6F,46.1980009,6.1361298
254,Cafe de la Paix,ChIJi4g1zdRkjEcRTwR4pLi7Tss,"['restaurant', 'food', 'point_of_interest', 'establishment']",3,4.3,172,"Bd Carl-Vogt 61, Genève",8FR854XP+6C,46.198091,6.1359844
255,Artisan Sandwich Co.,ChIJudMsqdRkjEcRNbqd2IA-o3E,"['restaurant', 'point_of_interest', 'food', 'establishment']",,4.6,46,"Bd Carl-Vogt 34, Genève",8FR854XM+CV,46.1985337,6.1346328
256,Va & Vient,ChIJS1syNSt7jEcRe0QW07pa38g,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",,4.6,73,"Bd Carl-Vogt 46, Genève",8FR854XP+57,46.1979532,6.1357477
257,Funky Monkey Room,ChIJ3UwBJzRljEcR5HAbgsut4v4,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,4.1,1032,"Rue du Stand 9, Genève",8FR8643P+88,46.2033229,6.1358465
258,Maxim Snack Restaurant,ChIJy3bnrNZkjEcRdS6a07Ea8XY,"['restaurant', 'food', 'point_of_interest', 'establishment']",,3.9,23,"Rue du Stand 7, Genève",8FR8643P+85,46.2032952,6.1353987
259,BAO Steam Kitchen - Jonction,ChIJzcTAHnFljEcRcuucDAM0SKw,"['restaurant', 'food', 'point_of_interest', 'establishment']",,4.5,233,"Chem. du 23-Août 8, Genève",8FR8642M+QQ,46.2019867,6.134384
260,Délices Parc,ChIJj8r-9dBkjEcRZGnyFwRQ23w,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,4,167,"Rue des Délices 4, Genève",8FR8644M+G7,46.2063319,6.1331753
261,Restaurant Le Chat Rouge,ChIJQ65dBdpkjEcRKBxENElzfzM,"['grocery_or_supermarket', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",2,4.4,338,"Rue Voltaire 25, Genève",8FR8645P+66,46.2080556,6.1355556
262,Gazelle d'Or,ChIJrx49jtpkjEcRER32IMvb3fU,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,4.3,289,"Rue de Lyon 55, Genève",8FR8645M+F6,46.2086441,6.1330195
263,Café-Restaurant Le Bacalhau,ChIJHbDRydtkjEcRqbJ8sRTBcgw,"['restaurant', 'food', 'point_of_interest', 'establishment']",,4.6,24,"Rue Tronchin 28, Genève",8FR8646P+55,46.2104931,6.1354909
264,Lion Food,ChIJ2xSyD9pkjEcR-w39GFe5-Mo,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",,4.9,7,"Rue de Lyon 33, Genève",8FR8645P+99,46.2084878,6.1359838
265,Absy Sàrl,ChIJZzspddtkjEcRzAI2na71XGM,"['restaurant', 'food', 'point_of_interest', 'establishment']",,3.8,4,"Rue de la Servette 55, Genève",8FR8646M+GJ,46.2114114,6.1341323
266,Bar à café le Derby,ChIJ6cI_4dxkjEcRG_5LfP1PY_4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,4.4,69,"Rue de la Canonnière 16, Genève",8FR8647M+RF,46.2146363,6.133609
267,"Café, restaurant Le Portail",ChIJgUpamNtkjEcR6_wQxmBrqn8,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,4,76,"Rue de la Servette 40, Genève",8FR8646M+GX,46.2112918,6.1348342
268,Le Saïgonais Restaurant,ChIJo0vNyvxljEcR-p4PwbViZvs,"['restaurant', 'food', 'point_of_interest', 'establishment']",,4.6,58,"Rue du Grand-Pré 25, Genève",8FR8647P+F9,46.2137415,6.1360389
269,Restaurant scolaire des Genêts,ChIJOTCjpOhkjEcRprLg7LKafgc,"['restaurant', 'point_of_interest', 'food', 'establishment']",,5,1,"Chem. de Sous-Bois 1, Genève",8FR864CM+G5,46.2213384,6.1329729
270,Lusitana,ChIJJwQz1AN7jEcRohY9lLiEcrM,"['restaurant', 'food', 'point_of_interest', 'establishment']",,4.7,6,"Rte des Acacias 36, Carouge",8FR854RM+5P,46.190388,6.134322
271,Restaurant Des Ronzades,ChIJkTnPTup7jEcRLtTileWVpxg,"['restaurant', 'food', 'point_of_interest', 'establishment']",,4.7,9,"Rue des Ronzades 9, Genève",8FR854RP+6Q,46.1907441,6.1367865
272,Jam Café,ChIJJSCPWxJ7jEcRtRGm3Xj3YNQ,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",,3.7,16,"Rue Jacques-Grosselin 2, Carouge",8FR854QP+CM,46.1885452,6.1367879
273,Kervan café,ChIJkUvV0tRkjEcRApgKdEl7chA,"['restaurant', 'food', 'point_of_interest', 'establishment']",,4.3,14,"Rue de bain 22, Genève",8FR854XP+6H,46.198014,6.1364398
274,Grains by Granola,ChIJz5UTW6Z7jEcRr9XJGSiOeSI,"['restaurant', 'food', 'point_of_interest', 'establishment']",,4.9,13,"Rue des Bains 21, Genève",8FR854XP+6F,46.1980049,6.1362455
275,Pidé Factory,ChIJabzl-QZljEcRakQDhdpAgic,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,4.8,121,"Bvd de Saint-Georges 30, Genève",8FR8642M+FG,46.2012496,6.1338547
276,La Couronne d'Or,ChIJ4beMS-1ljEcRn-DJO6h3r6s,"['restaurant', 'food', 'point_of_interest', 'establishment']",,4.2,28,"Quai du Seujet 36, Genève",8FR8643M+MC,46.2042066,6.1335388
277,Colosseo,ChIJYxuGbtRkjEcRZzrorpWW7qY,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,4.5,242,"Bd de Saint-Georges 46, Genève",8FR8642P+F8,46.201229,6.13585
278,Artemisia,ChIJM6LIU21ljEcRiZsjcUjb02g,"['restaurant', 'point_of_interest', 'food', 'establishment']",,4.5,8,"Chem. du 23-Août 7, Genève",8FR8642M+XW,46.2023695,6.1346909
